Wavelengt [nm],s1.2,s2.2,s3.2,s4.2
369.0,3.0028747937353066e-23,2.001746626007669e-23,2.2789249636975862e-23,3.737228832304217e-23
369.2,2.9004427989759336e-23,1.9021572416291778e-23,2.338896673268575e-23,3.467531906261645e-23
369.4,2.7926196465976464e-23,1.8324446725642343e-23,2.2989155335545823e-23,3.2748912448026645e-23
369.6,2.706361124695016e-23,1.8224857341263852e-23,2.2789249636975862e-23,3.3904756416780527e-23
369.8,2.6147114451734718e-23,1.8224857341263852e-23,2.1989626842696003e-23,3.506060038553441e-23
370.0,2.5446263961275848e-23,1.7826499803749888e-23,2.1989626842696003e-23,3.506060038553441e-23
370.2,2.4745413470816983e-23,1.7627321034992907e-23,2.1389909746986114e-23,3.429003773969849e-23
370.4,2.3990651404168967e-23,1.7029784728721962e-23,2.1389909746986114e-23,3.429003773969849e-23
370.6,2.32898009137101e-23,1.6233069653694032e-23,2.099009834984619e-23,3.3134193770944606e-23
370.8,2.285850830419695e-23,1.593430150055856e-23,2.1389909746986114e-23,3.3904756416780527e-23
371.0,2.2211569389927224e-23,1.5735122731801578e-23,2.099009834984619e-23,3.2748912448026645e-23
371.2,2.172636520422493e-23,1.5336765194287614e-23,2.1789721144126042e-23,3.1207787156354803e-23
371.4,2.113333786614435e-23,1.5037997041152142e-23,2.1589815445556078e-23,3.1593068479272764e-23
371.6,2.054031052806377e-23,1.4540050119259684e-23,2.119000404841615e-23,3.1978349802190724e-23
371.8,2.027075264711805e-23,1.4739228888016666e-23,2.1789721144126042e-23,3.1207787156354803e-23
372.0,2.0162929494739762e-23,1.4938407656773648e-23,2.1989626842696003e-23,3.1978349802190724e-23
372.2,1.956990215665918e-23,1.4340871350502703e-23,2.1389909746986114e-23,3.043722451051888e-23
372.4,1.9192521123335175e-23,1.4739228888016666e-23,2.059028695270626e-23,3.1593068479272764e-23
