wavelength;s2.3-s1.3;s4.3-s3.3
825,7;-1,10E-03;0,0006
825,6;-0,001;0,0008
825,5;-9,00E-04;0,0011
825,4;-0,001;0,0013
825,3;-9,00E-04;0,0013
825,2;-0,0009;0,0011
825,1;-1,00E-03;0,0008
825;-0,0008;0,0009
824,9;-9,00E-04;0,0009
824,8;-0,0009;0,001
824,7;-9,00E-04;0,0012
824,6;-0,001;0,0012
824,5;-1,00E-03;0,0013
824,4;-0,0008;0,0011
824,3;-8,00E-04;0,0011
824,2;-0,0008;0,0011
824,1;-8,00E-04;0,0011
824;-0,0008;0,0014
823,9;-9,00E-04;0,0015
823,8;-0,0007;0,0016
823,7;-8,00E-04;0,0016
823,6;-0,0011;0,0012
823,5;-1,00E-03;0,0009
823,4;-0,0011;0,0008
823,3;-1,20E-03;0,0005
823,2;-0,0009;0,001
823,1;-9,00E-04;0,0011
823;-0,0009;0,0015
822,9;-6,00E-04;0,0016
822,8;-0,0007;0,0011
822,7;-1,10E-03;0,0008
822,6;-0,0009;0,0006
822,5;-1,00E-03;0,0006
822,4;-0,0012;0,0008
822,3;-1,00E-03;0,001
822,2;-0,0013;0,0011
822,1;-1,30E-03;0,0009
822;-0,0011;0,0009
821,9;-1,20E-03;0,0009
821,8;-0,0011;0,0009
821,7;-1,10E-03;0,0011
821,6;-0,0012;0,0012
821,5;-9,00E-04;0,0013
821,4;-0,0007;0,0012
821,3;-5,00E-04;0,001
821,2;-0,0005;0,001
821,1;-5,00E-04;0,0011
821;-0,0005;0,0014
820,9;-3,00E-04;0,0017
820,8;-0,0004;0,0018
820,7;-7,00E-04;0,0016
820,6;-0,0008;0,0016
820,5;-9,00E-04;0,0014
820,4;-0,0007;0,0014
820,3;-7,00E-04;0,0014
820,2;-0,0005;0,0011
820,1;-9,00E-04;0,001
820;-0,0013;0,0007
819,9;-1,40E-03;0,0008
819,8;-0,0012;0,001
819,7;-1,10E-03;0,0009
819,6;-0,0007;0,0012
819,5;-6,00E-04;0,0013
819,4;-0,0009;0,001
819,3;-9,00E-04;0,001
819,2;-0,0011;0,0011
819,1;-1,00E-03;0,001
819;-0,0009;0,0013
818,9;-7,00E-04;0,0013
818,8;-0,0005;0,0012
818,7;-6,00E-04;0,0012
818,6;-0,0003;0,0012
818,5;-5,00E-04;0,001
818,4;-0,0008;0,0011
818,3;-9,00E-04;0,0011
818,2;-0,0013;0,001
818,1;-1,40E-03;0,0009
818;-0,0014;0,0009
817,9;-1,20E-03;0,0009
817,8;-0,0012;0,001
817,7;-1,00E-03;0,0011
817,6;-0,0007;0,0013
817,5;-4,00E-04;0,0014
817,4;-0,0002;0,0015
817,3;-2,00E-04;0,0017
817,2;-0,0005;0,0013
817,1;-7,00E-04;0,0011
817;-0,0008;0,001
816,9;-7,00E-04;0,001
816,8;-0,0008;0,001
816,7;-8,00E-04;0,001
816,6;-0,0008;0,0012
816,5;-1,00E-03;0,0013
816,4;-0,0009;0,0012
816,3;-9,00E-04;0,0013
816,2;-0,0012;0,001
816,1;-1,20E-03;0,001
816;-0,0009;0,0012
815,9;-9,00E-04;0,001
815,8;-0,0009;0,0009
815,7;-1,00E-03;0,0006
815,6;-0,0014;0,0006
815,5;-1,10E-03;0,0009
815,4;-0,0008;0,0012
815,3;-1,00E-03;0,0011
815,2;-0,001;0,0009
815,1;-1,10E-03;0,0009
815;-0,001;0,0009
814,9;-1,00E-03;0,001
814,8;-0,0008;0,0012
814,7;-8,00E-04;0,0011
814,6;-0,0009;0,001
814,5;-7,00E-04;0,0013
814,4;-0,0005;0,0014
814,3;-4,00E-04;0,0016
814,2;-0,0004;0,0016
814,1;-6,00E-04;0,0016
814;-0,0009;0,0016
813,9;-8,00E-04;0,0016
813,8;-0,0006;0,0018
813,7;-4,00E-04;0,0017
813,6;-0,0005;0,0016
813,5;-7,00E-04;0,0013
813,4;-0,0008;0,0013
813,3;-1,00E-03;0,0013
813,2;-0,001;0,0013
813,1;-9,00E-04;0,0013
813;-0,0008;0,0015
812,9;-9,00E-04;0,0016
812,8;-0,0005;0,0019
812,7;-4,00E-04;0,002
812,6;-0,0004;0,0021
812,5;-5,00E-04;0,0019
812,4;-0,0008;0,0017
812,3;-1,10E-03;0,0014
812,2;-0,0011;0,0014
812,1;-9,00E-04;0,0014
812;-0,0006;0,0015
811,9;-4,00E-04;0,0016
811,8;-0,0004;0,0016
811,7;-6,00E-04;0,0015
811,6;-0,0007;0,0014
811,5;-9,00E-04;0,0013
811,4;-0,001;0,0013
