wavelength;s1.4;s2.4;s3.4;s4.4;s5.4;s6.4;s7.4
234,1;0,6485;0,4016;0,3348;0,2816;0,2873;0,2254;0,2259
234,2;0,6341;0,3936;0,3274;0,2755;0,2811;0,2205;0,2214
234,3;0,6189;0,3846;0,3203;0,2694;0,2753;0,2159;0,2173
234,4;0,6048;0,3764;0,3132;0,2634;0,2689;0,2114;0,2119
234,5;0,5901;0,3671;0,3065;0,2572;0,2634;0,206;0,2075
234,6;0,5767;0,3585;0,2992;0,2509;0,2583;0,2009;0,2031
234,7;0,5643;0,3497;0,2933;0,2449;0,2529;0,1959;0,1987
234,8;0,5507;0,3414;0,2859;0,2387;0,2477;0,1902;0,194
234,9;0,5369;0,3326;0,2788;0,232;0,2419;0,185;0,1893
235;0,5245;0,3241;0,2719;0,2266;0,2363;0,1799;0,1847
235,1;0,5125;0,3162;0,2654;0,221;0,2317;0,1758;0,1811
235,2;0,5004;0,3084;0,2587;0,2153;0,2265;0,1715;0,177
235,3;0,4897;0,3018;0,2531;0,2115;0,2223;0,168;0,1738
235,4;0,4773;0,2948;0,2473;0,2056;0,2177;0,1642;0,1695
235,5;0,4656;0,2884;0,2415;0,2013;0,2129;0,1601;0,1654
235,6;0,455;0,2817;0,2366;0,1962;0,2085;0,1562;0,1617
235,7;0,4437;0,2756;0,2315;0,1916;0,2039;0,1529;0,158
235,8;0,4341;0,2693;0,2269;0,1873;0,1999;0,1492;0,1549
235,9;0,4239;0,2627;0,2222;0,1823;0,1959;0,1454;0,1515
