X MnCl+;Y MnCl+;X MnCl2;Y MnCl2;X MnCl3-;Y MnCl3-;X MnClH2O;Y MnClH2O;X MnCl2aq;Y MnCl2aq;X MnH2O;Y MnH2O
182,72;1022,290806;184,92;11632,20953;188,48;10872,28234;;;185,6;25442,68296;155,6;910,410563
182,96;870,861084;185,06;12308,89888;188,64;10700,86111;;;185,8;25205,9736;155,8;792,5856282
183,2;738,3355159;185,2;12984,42478;188,8;10580,23935;;;186;24930,50845;156;686,8951323
183,44;623,9124187;185,34;13655,04923;188,96;10509,17785;;;186,2;24622,29487;156,2;594,0949515
183,68;526,5064716;185,48;14316,99464;189,12;10485,74232;;;186,4;24288,54769;156,4;514,472605
183,92;444,879652;185,62;14966,48906;189,28;10507,34921;;;186,6;23937,46693;156,6;447,8934589
184,16;377,7602726;185,76;15599,81124;189,44;10570,81766;;;186,8;23577,95208;156,8;393,8725675
184,4;323,9463259;185,9;16213,3344;189,6;10672,42693;;;187;23219,26695;157;351,6656195
184,64;282,3909214;186,04;16803,56806;189,76;10807,97894;;;187,2;22870,67255;157,2;320,3727717
184,88;252,2688864;186,18;17367,19683;189,92;10972,86525;;;187,4;22541,04715;157,4;299,0500551
185,12;233,0245214;186,32;17901,11548;190,08;11162,13802;;;187,6;22238,51351;157,6;286,8241994
185,36;224,4010706;186,46;18402,45973;190,24;11370,58423;;;187,8;21970,09287;157,8;283,0078168
185,6;226,4527101;186,6;18868,63215;190,4;11592,80251;;;188;21741,40358;158;287,2126346
185,84;239,5398725;186,74;19297,32284;190,56;11823,28181;;;188,2;21556,41948;158,2;299,4587002
186,08;264,3086009;186,88;19686,52472;190,72;12056,48086;;;188,4;21417,29979;158,4;320,2770947
186,32;301,6544791;187,02;20034,54341;190,88;12286,90759;;;188,6;21324,29796;158,6;350,8027248
186,56;352,6716211;187,16;20340,00169;191,04;12509,19725;;;188,8;21275,75262;158,8;392,8523172
186,8;418,5873049;187,3;20601,83902;191,2;12718,18821;;;189;21268,15923;159;448,9810373
187,04;500,6831621;187,44;20819,30623;191,36;12908,99415;;;189,2;21296,31696;159,2;522,5094799
187,28;600,204412;187,58;20991,95613;191,52;13077,07145;;;189,4;21353,54159;159,4;617,5114733
187,52;718,2594289;187,72;21119,63051;191,68;13218,28068;;;189,6;21431,93227;159,6;738,752576
187,76;855,7129019;187,86;21202,44409;191,84;13328,94086;;;189,8;21522,67784;159,8;891,5696812
188;1013,076889;188;21240,76632;192;13405,87582;;;190;21616,38724;160;1081,684085
188,24;1190,405062;188,14;21235,20152;192,16;13446,45148;;;190,2;21703,4283;160,2;1314,943897
188,48;1387,196236;188,28;21186,56807;192,32;13448,60356;;;190,4;21774,25967;160,4;1596,996792
188,72;1602,313769;188,42;21095,87741;192,48;13410,85514;;;190,6;21819,7423;160,6;1932,900653
188,96;1833,927455;188,56;20964,31326;192,64;13332,32391;;;190,8;21831,4186;160,8;2326,687117
189,2;2079,484017;188,7;20793,21156;192,8;13212,71894;;;191;21801,75011;161;2780,900841
189,44;2335,711285;188,84;20584,04169;192,96;13052,32742;;;191,2;21724,30728;161,2;3296,144503
189,68;2598,659493;188,98;20338,38907;193,12;12851,99153;;;191,4;21593,90754;161,4;3870,665166
189,92;2863,781069;189,12;20057,93941;193,28;12613,07637;;;191,6;21406,70097;161,6;4500,020758
190,16;3126,047844;189,26;19744,46481;193,44;12337,42977;;;191,8;21160,20502;161,8;5176,865106
190,4;3380,102055;189,4;19399,81149;193,6;12027,33496;;;192;20853,29222;162;5890,885767
190,64;3620,434961;189,54;19025,88923;193,76;11685,45736;;;192,2;20486,1361;162,2;6628,920651
190,88;3841,584692;189,68;18624,66233;193,92;11314,78683;;;192,4;20060,12223;162,4;7375,267427
191,12;4038,343171;189,82;18198,14179;194,08;10918,57667;;;192,6;19577,73149;162,6;8112,184885
191,36;4205,960904;189,96;17748,37851;194,24;10500,28092;;;192,8;19042,40338;162,8;8820,56906
191,6;4340,338121;190,1;17277,4572;194,4;10063,49112;;;193;18458,38659;163;9480,770621
