Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
356.8,5.63806518511147e-23,6.801376755807223e-23,4.7950235740455377e-23,7.033184315562214e-23
356.7,5.627832761908001e-23,6.821740159267724e-23,4.9065357501861313e-23,7.052141685685023e-23
356.6,5.627832761908001e-23,6.882830369649225e-23,4.7578528486653396e-23,7.033184315562214e-23
356.5,5.61760033870453e-23,6.903193773109727e-23,4.7578528486653396e-23,7.127971166176261e-23
356.4,5.627832761908001e-23,6.882830369649225e-23,4.73926748597524e-23,7.071099055807833e-23
356.3,5.566438222687185e-23,6.852285264458474e-23,4.6835113979049435e-23,7.090056425930642e-23
356.2,5.597135492297592e-23,6.821740159267724e-23,4.813608936735636e-23,7.165885906421878e-23
356.1,5.576670645890655e-23,6.852285264458474e-23,4.9251211128762304e-23,7.090056425930642e-23
356.0,5.52550852987331e-23,6.811558457537474e-23,4.943706475566329e-23,7.109013796053451e-23
355.9,5.545973376280247e-23,6.791195054076972e-23,5.036633289016824e-23,7.052141685685023e-23
355.8,5.494811260262902e-23,6.760649948886222e-23,5.036633289016824e-23,6.995269575316596e-23
355.7,5.40271945143168e-23,6.689378036774469e-23,4.9994625636366265e-23,7.014226945439404e-23
355.6,5.361789758617804e-23,6.628287826392968e-23,4.869365024805933e-23,6.957354835070977e-23
355.5,5.300395219396989e-23,6.618106124662717e-23,4.73926748597524e-23,6.90048272470255e-23
355.4,5.239000680176175e-23,6.628287826392968e-23,4.646340672524746e-23,6.957354835070977e-23
355.3,5.279930372990051e-23,6.628287826392968e-23,4.5905845844544483e-23,6.90048272470255e-23
355.2,5.2492331033796436e-23,6.607924422932467e-23,4.6649260352148444e-23,6.995269575316596e-23
355.1,5.259465526583113e-23,6.658832931583718e-23,4.7020967605950425e-23,7.127971166176261e-23
355.0,5.239000680176175e-23,6.597742721202216e-23,4.7020967605950425e-23,7.014226945439404e-23
354.9,5.157141294548422e-23,6.516289107360214e-23,4.7020967605950425e-23,6.938397464948167e-23
354.8,5.095746755327607e-23,6.526470809090465e-23,4.7578528486653396e-23,6.919440094825359e-23
354.7,5.054817062513731e-23,6.39410868659721e-23,4.6835113979049435e-23,6.748823763720075e-23
354.6,4.962725253682509e-23,6.302473371024956e-23,4.6277553098346464e-23,6.67299428322884e-23
354.5,4.921795560868633e-23,6.302473371024956e-23,4.553413859074251e-23,6.67299428322884e-23
354.4,4.860401021647818e-23,6.271928265834206e-23,4.4604870456237556e-23,6.616122172860411e-23
354.3,4.860401021647818e-23,6.282109967564456e-23,4.553413859074251e-23,6.767781133842885e-23
354.2,4.860401021647818e-23,6.333018476215708e-23,4.4790724083138547e-23,6.90048272470255e-23
354.1,4.778541636020065e-23,6.333018476215708e-23,4.423316320243558e-23,6.919440094825359e-23
354.0,4.809238905630473e-23,6.271928265834206e-23,4.4790724083138547e-23,6.862567984456932e-23
353.9,4.747844366409658e-23,6.170111248531702e-23,4.3861455948633595e-23,6.691951653351648e-23
353.8,4.706914673595782e-23,6.09883933641995e-23,4.3118041441029634e-23,6.559250062491983e-23
353.7,4.717147096799251e-23,6.047930827768698e-23,4.293218781412865e-23,6.559250062491983e-23
353.6,4.696682250392313e-23,5.986840617387196e-23,4.237462693342568e-23,6.464463211877938e-23
353.5,4.717147096799251e-23,5.976658915656946e-23,4.330389506793063e-23,6.502377952123556e-23
353.4,4.7273795200027196e-23,5.895205301814944e-23,4.4790724083138547e-23,6.40759110150951e-23
353.3,4.625055287968029e-23,5.874841898354443e-23,4.367560232173261e-23,6.483420582000748e-23
353.2,4.5227310559333386e-23,5.874841898354443e-23,4.256048056032667e-23,6.559250062491983e-23
353.1,4.4101744006951784e-23,5.935932108735945e-23,4.125950517201974e-23,6.635079542983221e-23
353.0,4.3283150150674256e-23,5.946113810466195e-23,4.033023703751479e-23,6.729866393597266e-23
352.9,4.256688052643142e-23,5.854478494893942e-23,4.033023703751479e-23,6.502377952123556e-23
352.8,4.256688052643142e-23,5.803569986242691e-23,4.0144383410613805e-23,6.464463211877938e-23
352.7,4.246455629439673e-23,5.650844460288935e-23,3.9215115276108854e-23,6.293846880772656e-23
352.6,4.225990783032735e-23,5.559209144716683e-23,3.9029261649207863e-23,6.218017400281419e-23
352.5,4.256688052643142e-23,5.589754249907433e-23,3.977267615681182e-23,6.236974770404227e-23
352.4,4.1748286670153895e-23,5.579572548177184e-23,3.8843408022306867e-23,6.218017400281419e-23
352.3,4.144131397404982e-23,5.569390846446933e-23,4.0144383410613805e-23,6.236974770404227e-23
352.2,4.0315747421668214e-23,5.559209144716683e-23,3.865755439540588e-23,6.180102660035799e-23
352.1,3.9804126261494764e-23,5.51848233779568e-23,3.6984871753296975e-23,6.218017400281419e-23
352.0,3.9701802029460073e-23,5.467573829144429e-23,3.6427310872594004e-23,6.199060030158609e-23
351.9,3.9087856637251927e-23,5.508300636065431e-23,3.531218911118807e-23,6.274889510649846e-23
351.8,3.929250510132131e-23,5.508300636065431e-23,3.6799018126395985e-23,6.236974770404227e-23
